code accident,date,heure,département,commune,massif,region,massif_unique,site,"coordonnées
 zone départ",altitude,inclinaison,orientation,groupe,emportés,"ensevelis 
 tête",décédés,blessées,indemnes,activité,activite_regrouped,évolution,BRA,"qualité 
 neige","cohésion
 neige","type 
 départ",cause départ,"dénivelé
 (mètres)","largeur 
 cassure
 (mètres)","épaisseur
 cassure max. 
 (cm)"
1516-74-04,2016-01-30,09:57,74,la clusaz,aravis,alps,Aravis,combe du grand crêt / tête pelouse,"45°54'34.9"" / 6°30'36.9""",2500,40-44,NO,2,1,1,1,0,0,randonnée,hiking,descente,2,sèche,dure,linéaire,accidentelle soi-même,440,150,150
1112-65-03,2012-02-19,,65,bagnère de bigorre,haute bigorre,pyrenees,hte-bigo,la blanche,,,,,2,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,2,sèche,,linéaire,accidentelle soi-même,400,150,100
1617-74-02,2017-02-12,08:30,74,praz sur arly,mont blanc,alps,Mont-Blanc,secteur Véry,32t 316209/5074550,2250,35-39,NO,1,1,1,1,0,0,randonnée,hiking,descente,2,sèche,dure,linéaire,accidentelle soi-même,375,150,150
1011-05-03,2011-02-19,13:10,5,orcières,champsaur,alps,Champsaur,col de la montagne haute / mourre froid,,2800,35-39,N,6,3,1,0,1,2,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,200,150,80
1516-73-16,2016-02-15,16:25,73,bonneval sur arc,haute maurienne,alps,Hte-maurie,pointe d'andagne,"45°20'55.78"" / 7°3'31.19""",3000,40-44,O,4,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,125,150,100
1213-73-15,2013-03-06,11:00,73,modane,maurienne,alps,Maurienne,vallée perdue valfréjus,45°09'26.9'' / 6°39'25.5'',2200,30-34,NO,2,2,0,0,0,2,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,70,150,100
1112-31-01,2012-02-18,,31,bagnères de luchon,luchonnais,pyrenees,luchonnais,pic d'aubas,"42°44'47.66"" 0°39'42.89""",2030,30-34,NO,5,5,0,0,0,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,,150,100
1314-73-21,2014-04-15,13:15,73,val isere,haute tarentaise,alps,Hte-tarent,ruisseau du pisset,45°24.244 / 6°57.450,2375,35-39,NO,7,2,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,2,sèche,dure,linéaire,accidentelle soi-même,250,125,100
1011-73-12,2011-03-18,12:00,73,val isère,haute tarentaise,alps,Hte-tarent,envers de cugnaï,,2850,35-39,NO,6,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,580,120,90
1314-05-02,2013-12-26,14:20,5,monetier,pelvoux,alps,Pelvoux,cucumelle,44°56'046 / 6°30'350,2565,35-39,SO,2,2,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",traversée,4,sèche,dure,linéaire,accidentelle soi-même,350,120,60
1617-73-13,2017-03-07,09:45,73,tignes,haute tarentaise,alps,Hte-tarent,grande balme piste Carline,"45°26'43.09"" / 6°53'8.77""",2650,40-44,N,33,33,6,1,5,14,piste,"piste (ski, snowboard)",,4,sèche,tendre,linéaire,naturelle,350,120,200
1314-73-12,2014-01-10,12:00,73,bonneval,haute maurienne,alps,Hte-maurie,ouille mouta,"45°21'48.02"" / 7°4'51.46""",2635,40-44,NO,2,1,1,1,0,0,randonnée,hiking,,2,sèche,,linéaire,accidentelle soi-même,300,120,80
1314-38-01,2014-01-26,14:40,38,auris,grandes rousses,alps,Gdes-rouss,combe des girauds,45°03.926 / 6°05.497,2000,30-34,S,2,2,2,2,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,250,120,60
1415-05-06,2015-02-08,13:30,5,molines en queyras,queyras,alps,Queyras,route col agnel,"44°41'53.0"" / 6°56'55.8""",2340,30-34,SO,1,1,1,1,0,0,randonnée,hiking,traversée,4,sèche,tendre,linéaire,accidentelle soi-même,50,120,120
1617-73-14,2017-03-07,16:00,73,modane,haute maurienne,alps,Hte-maurie,couloir du seuil,"45°9'50.05"" // 6°39'57.24""",2251,35-39,NE,3,3,2,2,0,1,hors-piste,"off-piste (ski, snowboard)",,4,sèche,tendre,linéaire,accidentelle soi-même,475,115,200
1314-74-03,2013-12-27,10:45,74,la clusaz,aravis,alps,Aravis,combe de torchere,"45°53'25"" / 6°29'15""",2375,30-34,NO,3,2,2,2,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,tendre,linéaire,accidentelle soi-même,125,115,100
1112-74-02,2012-01-29,15:55,74,chamonix,mont blanc,alps,Mont-Blanc,couloir cosmique/la para,45°53'37'' 06°51'51'',2300,,NO,4,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,2,humide,dure,linéaire,accidentelle soi-même,1000,100,30
1415-05-11,2015-04-28,,5,le monetier les bains,pelvoux,alps,Pelvoux,couloir davin,,3000,40-44,N,1,1,0,0,0,0,alpinisme,alpinisme,montée,,sèche,,linéaire,,800,100,
1213-05-03,2012-12-26,15:30,5,molines en queyras,queyras,alps,Queyras,chateau renard couloir NE,,2865,>45,N,1,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,620,100,60
1314-73-25,2014-05-04,11:15,73,bessans,haute maurienne,alps,Hte-maurie,face ouest pointe charbonnel,"45°16'48.26"" // 7°3'4.39",3600,>45,O,1,1,0,0,0,0,alpinisme,alpinisme,,,humide,,linéaire,accidentelle soi-même,500,100,50
1617-64-01,2017-01-14,12:17,64,laruns,aspe ossau,pyrenees,aspe-ossau,crete de gabarderes,"42°51'5"" / 0°22'6""",2300,35-39,N,3,3,2,2,0,1,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,450,100,
1617-05-13,2017-04-16,09:55,5,crots,embrunais parpaillon,alps,Parpaillon,gros ferrant,"44°28'06.98"" / 6°27'31.63",2270,40-44,N,2,2,0,0,0,0,randonnée,hiking,descente,2,humide,dure,linéaire,accidentelle soi-même,420,100,
1516-38-01,2016-01-13,15:45,38,mont de lans,oisans,alps,Oisans,piste noire de Bellecombe / montagne de Rachas,"44°59'41.59"" / 6°9'28.08""",2690,35-39,NE,11,5,4,3,1,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,,linéaire,accidentelle tiers,370,100,200
1213-73-16,2013-03-06,11:30,73,tignes,haute tarentaise,alps,Hte-tarent,couloir bois de la laye,45°28'13.4' / 6°55'35.5'',2200,35-39,N,2,2,2,1,1,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,360,100,80
1617-74-01,2017-02-12,13:15,74,la clusaz,aravis,alps,Aravis,combe du rocher jaune face N pointe merdassier,32T0302123 / 5082122,1970,35-39,N,4,2,1,1,0,0,randonnée,hiking,descente,2,sèche,tendre,linéaire,accidentelle tiers,320,100,
1314-73-01,2013-10-13,12:10,73,tignes,haute tarentaise,alps,Hte-tarent,pointe de la grande motte,,3665,35-39,NE,5,2,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,,sèche,dure,linéaire,accidentelle soi-même,300,100,60
1718-73-13,2018-02-24,,73,beaufort,beaufortain,alps,Beaufortin,lac d'amour / pierra menta,,,,NO,3,3,0,0,0,0,randonnée,hiking,montée,,,,linéaire,accidentelle soi-même,250,100,60
1213-73-10,2013-02-13,12:55,73,cote d'aime,vanoise,alps,Vanoise,combe benite,,2400,,O,7,5,1,1,0,1,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,200,100,130
1718-73-04,2017-12-30,16:00,73,val d'isere,haute tarentaise,alps,Hte-tarent,face ouest pelaou blanc,"45°23'52"" / 6°59'56""",2740,35-39,SO,4,2,2,1,1,0,randonnée,hiking,,,sèche,tendre,linéaire,accidentelle soi-même,200,100,40
1314-73-02,2013-10-26,13:30,73,pralognan,vanoise,alps,Vanoise,passage de rosoire,"45°18'05.6"" / 6°43'58.4""",3450,>45,O,2,2,0,0,0,2,alpinisme,alpinisme,montée,,sèche,dure,linéaire,accidentelle soi-même,150,100,80
1718-66-01,2017-12-30,13:10,66,porta,capcir puymorens,pyrenees,capcir,pic dels pedrons,"42°31'55"" / 1°45'11""",2610,40-44,SE,4,4,0,0,0,4,randonnée,hiking,descente,4,sèche,dure,linéaire,accidentelle soi-même,130,100,120
1718-73-16,2018-03-03,16:30,73,beaufort,beaufortain,alps,Beaufortin,plan des planes,,1550,35-39,NE,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,humide,tendre,linéaire,accidentelle soi-même,100,100,30
1415-06-01,2014-12-07,10:45,6,isola,mercantour,alps,Mercantour,cime lombarde,"44°12'15"" / 7°09'37""",2600,35-39,SO,4,4,0,0,0,0,randonnée,hiking,montée,,sèche,tendre,linéaire,accidentelle soi-même,100,100,20
1415-05-01,2014-12-31,12:50,5,le monetier les bains,thabor,alps,Thabor,secteur col du galibier,"45°3'35.3"" / 6°23'56.4""",2750,30-34,E,4,1,1,1,0,0,randonnée,hiking,traversée,3,sèche,dure,linéaire,accidentelle soi-même,100,100,70
1213-06-01,2013-04-15,13:25,6,st etienne tinee,mercantour,alps,Mercantour,secteur dome station auron,"44°12'50"" / 6°54'25""",2150,30-34,E,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,4,humide,tendre,linéaire,,100,100,70
1213-74-02,2012-12-06,12:45,74,serraval,aravis,alps,Aravis,sulens,32t 0295672 5078087,1710,40-44,O,2,2,1,1,0,1,randonnée,hiking,traversée,,sèche,tendre,linéaire,accidentelle soi-même,50,100,40
1011-73-08,2011-02-26,11:30,73,montricher albanne,maurienne,alps,Maurienne,col du pertuite grande chible,"45°10'42.9"" 6°23'09.6""",2500,30-34,NE,2,1,0,0,0,1,randonnée,hiking,,2,sèche,dure,linéaire,accidentelle soi-même,50,100,70
1314-38-02,2014-01-27,12:40,38,chamrousse,belledonne,alps,Belledone,piste lacs roberts,45°07.682 / 5°54.499,2170,30-34,SE,4,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",arrêt,3,sèche,dure,linéaire,accidentelle tiers,50,100,100
1415-73-16,2015-03-03,12:00,73,orelle,vanoise,alps,Vanoise,face ouest col rénod,,,,SO,4,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,,100,
1213-74-10,2013-04-01,13:30,74,contamines,beaufortain,alps,Beaufortin,col des chasseurs,,2400,35-39,N,3,2,0,0,0,2,randonnée,hiking,descente,,sèche,tendre,linéaire,accidentelle soi-même,,100,30
1011-05-01,2011-01-08,11:06,5,monetier les bains,pelvoux,alps,Pelvoux,cibouit,,,,,2,1,1,0,0,1,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,,100,50
1213-38-01,2012-12-13,12:45,38,saint christophe sur guiers,chartreuse,alps,Chartreuse,col de léchaud,5°48'38.2'' // 45°23'20.3'',1680,30-34,NO,2,2,2,2,0,0,randonnée,hiking,,,sèche,dure,linéaire,accidentelle soi-même,100,90,
1617-04-01,2017-03-26,14:10,4,saint paul sur ubaye,ubaye,alps,Ubaye,col mirandol vallon grand,44°30'15.4 / 6°47'58.2,2480,40-44,NO,5,4,2,2,0,2,randonnée,hiking,descente,4,sèche,tendre,linéaire,accidentelle soi-même,50,90,45
1011-05-07,2011-03-18,14:00,5,ceillac,queyras,alps,Queyras,ravin clausis,"44°38'32.9"" 6°51'40.9""",2300,30-34,N,2,1,1,1,0,0,randonnée,hiking,,4,sèche,dure,linéaire,accidentelle soi-même,50,90,50
1718-73-20,2018-03-25,16:25,73,modane,haute maurienne,alps,Hte-maurie,belle plinier nord ouest,"45°9'36"" / 6°41'39""",2550,35-39,NO,3,2,2,2,0,0,randonnée,hiking,,2,sèche,,linéaire,accidentelle soi-même,600,80,
1718-74-12,2018-04-02,11:00,74,chamonix,mont blanc,alps,Mont-Blanc,pointe alphonse favre,"45°59'18"" / 6°51'42""",2680,40-44,S,9,7,0,0,0,0,randonnée,hiking,montée,3,sèche,tendre,linéaire,accidentelle soi-même,580,80,40
1011-73-16,2011-03-21,12:54,73,ste foy tarentaise,haute tarentaise,alps,Hte-tarent,pointe de l'argentière,,2750,35-39,NO,10,2,2,0,1,1,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,400,80,60
1415-38-04,2015-02-22,13:15,38,saint honoré,oisans,alps,Oisans,combe de la mouche,"44°47'570"" / 5°50'175""",1950,30-34,O,4,4,2,1,1,2,randonnée,hiking,montée,3,humide,dure,linéaire,accidentelle soi-même,300,80,20
1011-74-05,2010-12-22,11:00,74,contamines,mont blanc,alps,Mont-Blanc,chalet balme,"45°44'57.6"" 6°42'33.3""",2050,35-39,SO,9,1,1,0,1,0,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,250,80,50
1011-73-04,2010-12-10,15:00,73,orelle,vanoise,alps,Vanoise,hors-piste sous cime caron,"45°15'7.9"" 6°33'32.7""",2820,30-34,S,9,4,0,0,1,3,hors-piste,"off-piste (ski, snowboard)",traversée,,sèche,tendre,linéaire,accidentelle soi-même,200,80,80
1314-73-03,2013-12-22,11:15,73,pralognan,vanoise,alps,Vanoise,"entre chalet ritort et rosoire, lit du ruisseau du ritort","45°18'661""/6°41'137""",2150,35-39,NO,2,2,1,1,0,0,randonnée,hiking,descente,1,sèche,,linéaire,accidentelle soi-même,150,80,50
1213-73-01,2012-12-05,11:25,73,tignes,haute tarentaise,alps,Hte-tarent,secteur paquerette,,2600,30-34,N,11,2,2,2,0,0,hors-piste,"off-piste (ski, snowboard)",,4,sèche,tendre,linéaire,accidentelle soi-même,150,80,60
1011-73-23,2011-03-20,10:00,73,tignes,haute tarentaise,alps,Hte-tarent,oreilles de mickey,,2600,,SO,3,2,0,0,2,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,,linéaire,accidentelle tiers,150,80,150
1516-73-05,2016-01-13,13:54,73,tignes,haute tarentaise,alps,Hte-tarent,pentes du lac de Tignes,"45°27'51"" / 6°54'38",2205,35-39,NO,1,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,4,sèche,tendre,linéaire,accidentelle soi-même,125,80,100
1718-05-08,2018-03-12,12:15,5,la salle les alpes,pelvoux,alps,Pelvoux,rochers de l'enfer / serre chevalier,"44°54'44.5"" / 6°32'32.4""",2300,40-44,N,3,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,dure,linéaire,accidentelle soi-même,100,80,95
1112-38-01,2012-02-06,15:30,38,la morte,oisans,alps,Oisans,pas de la mine,4502059 00554024,2400,30-34,NO,2,1,1,1,0,0,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,100,80,30
1415-38-03,2015-02-08,11:30,38,villard de lans,vercors,alps,Vercors,roc cornafion,"45°4'9.75"" / 5°36'3.33",1830,40-44,SO,3,1,0,0,0,0,randonnée,hiking,descente,,,,linéaire,accidentelle soi-même,90,80,50
1112-38-04,2012-03-23,12:10,38,sainte agnes,belledonne,alps,Belledone,ferrouillet,"45°12'360"" 5°59'590""",2200,35-39,N,2,1,1,0,1,0,randonnée,hiking,descente,2,sèche,tendre,linéaire,accidentelle soi-même,80,80,80
1112-05-04,2012-03-24,11:30,5,saint veran,queyras,alps,Queyras,pas de la cula,"44°39'32.6"" 6°54'38.9""",2980,35-39,NO,7,1,0,0,0,0,randonnée,hiking,,2,sèche,dure,linéaire,accidentelle soi-même,50,80,80
1213-38-07,2013-04-07,11:45,38,allemond,belledonne,alps,Belledone,col de roche noire,5°59'20.9'' // 45°11'09'8'',2600,40-44,E,50,3,0,0,0,3,randonnée,hiking,montée,,humide,dure,linéaire,naturelle sérac/corniche,300,75,400
